,companyFullName,companyShortName,companySize,financeStage,district,positionName,workYear,education,salary,positionAdvantage,industryField,firstType,companyLabelList,secondType,city
0,上海媒智科技有限公司,媒智科技,15-50人,A轮,徐汇区,深度学习算法工程师,1-3年,硕士,20k-40k,年底双薪 股票期权 带薪年假 周末双休,人工智能服务,开发|测试|运维类,,人工智能,上海
1,上海西井信息科技有限公司,westwell西井科技,150-500人,C轮,长宁区,深度学习算法工程师,1-3年,本科,15k-25k,"氛围环境好,六险一金,一线福利,团队有爱",人工智能服务,开发|测试|运维类,"技能培训,股票期权,带薪年假,绩效奖金",人工智能,上海
2,海深智能科技（上海）有限公司,海深科技,15-50人,B轮,浦东新区,深度学习算法工程师,1-3年,本科,30k-50k,年底多薪 发展空间大 福利好 待遇优厚,人工智能服务,开发|测试|运维类,"年底双薪,绩效奖金,定期体检,年度旅游",人工智能,上海
3,杭州涂鸦信息技术有限公司,涂鸦智能,2000人以上,C轮,西湖区,AI算法优化工程师,3-5年,本科,20k-25k,"氛围好,定期团建,工作环境好","物联网,智能硬件",开发|测试|运维类,"5星办公环境,年底奖金,团队牛B,五险一金",人工智能,杭州
4,杭州涂鸦信息技术有限公司,涂鸦智能,2000人以上,C轮,西湖区,AI算法工程师,5-10年,本科,25k-40k,"行业前景好,精英团队,技术一流","物联网,智能硬件",开发|测试|运维类,"5星办公环境,年底奖金,团队牛B,五险一金",人工智能,杭州
5,海南星图速云科技有限公司,星图速云,15-50人,天使轮,高新区,图像深度学习算法工程师,1-3年,本科,18k-25k,一线产品 扁平管理 福利好,"人工智能服务,工具类产品,软件服务｜咨询",开发|测试|运维类,,人工智能,成都
6,上海谱时昊唯数据科技有限公司,谱时昊唯数据,少于15人,天使轮,海淀区,AI 算法工程师,不限,硕士,25k-50k,待遇丰厚，前沿技术，发展空间大，领导nice，,人工智能,开发|测试|运维类,,人工智能,北京
7,上海谱时昊唯数据科技有限公司,谱时昊唯数据,少于15人,天使轮,武侯区,ai算法工程师,不限,硕士,20k-40k,前沿技术，发展空间大，领导nice，待遇丰厚,人工智能,开发|测试|运维类,,人工智能,成都
8,成都远望探测技术有限公司,远望探测,50-150人,天使轮,双流县,算法工程师,1-3年,本科,8k-15k,办公环境好 福利待遇好,"软件服务｜咨询,网络通信",开发|测试|运维类,,人工智能,成都
9,成都数聚城堡科技有限公司,DataCastle,15-50人,天使轮,高新区,算法工程师,3-5年,本科,10k-20k,下午茶、扁平管理、年假、旅行,在线教育,开发|测试|运维类,"年底双薪,股票期权,带薪年假,午餐补助",人工智能,成都
