,companyFullName,companyShortName,companySize,financeStage,district,positionName,workYear,education,salary,positionAdvantage,industryField,firstType,companyLabelList,secondType,city
0,上海狮峪智能科技有限公司,上海狮峪智能科技有限公司,15-50人,未融资,闵行区,安卓android开发工程师,3-5年,本科,15k-21k,高薪资、高福利,游戏,开发|测试|运维类,,移动前端开发,上海
1,前锦网络信息技术（上海）有限公司,51JOB,2000人以上,上市公司,浦东新区,Android开发工程师,1-3年,本科,10k-18k,"五险一金,技术大牛","移动互联网,企业服务",开发|测试|运维类,,移动前端开发,上海
2,杭州涂鸦信息技术有限公司,涂鸦智能,2000人以上,C轮,西湖区,移动端(Android&amp;iOS)开发工程师-KA业务方向,3-5年,本科,15k-30k,智能家居,"物联网,智能硬件",开发|测试|运维类,"5星办公环境,年底奖金,团队牛B,五险一金",移动前端开发,杭州
3,杭州涂鸦信息技术有限公司,涂鸦智能,2000人以上,C轮,西湖区,android高级开发工程师,3-5年,本科,15k-30k,大公司 前景广 1-6个月年终奖,"物联网,智能硬件",开发|测试|运维类,"5星办公环境,年底奖金,团队牛B,五险一金",移动前端开发,杭州
4,上海莉莉丝科技股份有限公司,莉莉丝游戏,500-2000人,不需要融资,闵行区,高级Android开发工程师,3-5年,本科,20k-40k,"弹性工作,福利待遇好,工作氛围好,团建",游戏,开发|测试|运维类,"项目奖金,零食无限量,牛逼的同事,境外旅游",移动前端开发,上海
5,数睿科技（深圳）有限公司,数睿科技,150-500人,上市公司,福田区,安卓android开发工程师,3-5年,本科,15k-25k,上市公司、高奖金、自有办公楼、不提倡加班,生活服务,开发|测试|运维类,"年底双薪,绩效奖金,股票期权,五险一金",移动前端开发,深圳
6,上海卓盟信息科技有限公司,卓盟科技,50-150人,B轮,徐汇区,Android研发工程师(安卓),不限,本科,16k-30k,团建、福利补贴,IT技术服务｜咨询,开发|测试|运维类,"节日礼物,股票期权,专项奖金,绩效奖金",移动前端开发,上海
7,思特沃克软件技术（成都）有限公司,ThoughtWorks,2000人以上,不需要融资,洪山区,Android 安卓开发工程师,5-10年,不限,15k-20k,外企/追求技术卓越/扁平/不加班/双休,"软件服务｜咨询,IT技术服务｜咨询",开发|测试|运维类,"技能培训,节日礼物,带薪年假,全球化视野",移动前端开发,武汉
8,上海中软华腾软件系统有限公司,上海中软华腾软件系统有限公司,2000人以上,上市公司,龙岗区,安卓android开发工程师,不限,大专,15k-30k,设计模式,IT技术服务｜咨询,开发|测试|运维类,"绩效奖金,带薪年假,定期体检,管理规范",移动前端开发,深圳
9,车轮互联科技（上海）股份有限公司,车轮,150-500人,D轮及以上,闵行区,安卓android开发工程师,1-3年,本科,17k-25k,氛围佳、福利好、发展空间大,工具类产品,开发|测试|运维类,"节日礼物,领导好,美女多,五险一金",移动前端开发,上海
