,companyFullName,companyShortName,companySize,financeStage,district,positionName,workYear,education,salary,positionAdvantage,industryField,firstType,companyLabelList,secondType,city
0,上海莉莉丝科技股份有限公司,莉莉丝游戏,500-2000人,不需要融资,闵行区,大数据开发工程师,3-5年,本科,12k-24k,"弹性工作,福利待遇好,工作氛围好",游戏,产品|需求|项目类,"项目奖金,零食无限量,牛逼的同事,境外旅游",数据分析,上海
1,杭州涂鸦信息技术有限公司,涂鸦智能,2000人以上,C轮,西湖区,大数据开发工程师,3-5年,本科,15k-30k,氛围好、福利好、成长空间大,"物联网,智能硬件",开发|测试|运维类,"5星办公环境,年底奖金,团队牛B,五险一金",数据开发,杭州
2,北京拉勾网络技术有限公司,拉勾网,500-2000人,D轮及以上,海淀区,大数据开发工程师,5-10年,不限,20k-40k,"发展空间大,弹性工作制,领导Nice","工具类产品,在线教育",开发|测试|运维类,"五险一金,弹性工作,带薪年假,免费两餐",数据开发,北京
3,成都超有爱科技有限公司,百词斩,150-500人,D轮及以上,高新区,数据开发工程师,3-5年,本科,15k-30k,年底双薪、六险一金、个人成长,"在线教育,工具类产品,内容社区",开发|测试|运维类,"股票期权,年底双薪,管饭！,超爱学习",数据开发,成都
4,上海领迹信息科技有限公司,领迹信息,50-150人,未融资,,数据开发工程师,不限,本科,11k-18k,项目长期稳定，提升空间大,数据服务,开发|测试|运维类,,数据开发,杭州
5,广东快乐种子科技有限公司,快乐种子,2000人以上,B轮,越秀区,大数据开发工程师,3-5年,本科,15k-30k,周末双休、五险一金,在线教育,开发|测试|运维类,"专项奖金,股票期权,绩效奖金,带薪年假",数据开发,广州
6,深圳市法本信息技术股份有限公司,法本信息,2000人以上,上市公司,南山区,数据开发工程师,3-5年,大专,16k-25k,团队氛围好 薪资福利高 大拿多,"人工智能服务,IT技术服务｜咨询",开发|测试|运维类,,数据开发,深圳
7,广东顺畅科技有限公司,顺畅科技,500-2000人,未融资,越秀区,数据开发工程师,3-5年,本科,13k-18k,发展前景好，学习渠道多，个人成长快！,"软件服务｜咨询,IT技术服务｜咨询",产品|需求|项目类,,数据分析,广州
8,上海贯信信息技术有限公司,贯信信息,50-150人,不需要融资,杨浦区,大数据开发工程师,3-5年,本科,15k-25k,有补贴、福利好，公司准备上市,电商平台,开发|测试|运维类,"带薪年假,午餐补助,交通补助,通讯津贴",数据开发,上海
9,北京果壳互动科技传媒有限公司,果壳,150-500人,C轮,朝阳区,数据开发工程师,3-5年,本科,15k-30k,多元业务 ；团队融洽；快速成长；七险一金；,"短视频,新零售",开发|测试|运维类,"技能培训,年度旅游,岗位晋升,家庭式三餐",数据开发,北京
10,爱客科技（深圳）有限公司,AfterShip,150-500人,不需要融资,南山区,大数据开发工程师,5-10年,本科,18k-35k,技术大牛 国际化团队 工具文化,"软件服务｜咨询,营销服务｜咨询,数据服务｜咨询",开发|测试|运维类,"持续盈利,国际龙头企业,SaaS平台,极客氛围",数据开发,深圳
11,行吟信息科技（上海）有限公司,小红书,500-2000人,D轮及以上,黄浦区,数据开发工程师,3-5年,本科,30k-60k,领导nice、定期团建、免费三餐,"电商平台,内容社区",开发|测试|运维类,"年度旅游,节日礼物,专项奖金,带薪年假",数据开发,上海
12,云账户（天津）共享经济信息咨询有限公司,云账户,150-500人,C轮,朝阳区,数据开发工程师,3-5年,本科,25k-50k,五险一金，住房补贴，补充医疗保险,数据服务｜咨询,开发|测试|运维类,"带薪年假,绩效奖金,定期体检,自助午/晚餐",数据开发,北京
13,成都聚思力信息技术有限公司,成都聚思力信息技术有限公司,500-2000人,上市公司,高新区,数据开发工程师,3-5年,本科,12k-18k,9天年假，医疗报销，旅游津贴,IT技术服务｜咨询,开发|测试|运维类,"绩效奖金,带薪年假,交通补助,午餐补助",数据开发,成都
14,广州伊的家网络科技有限公司,伊的家,2000人以上,不需要融资,番禺区,大数据开发工程师,3-5年,本科,15k-25k,13~17薪、大平台、技术成长、扁平化管理,电商平台,开发|测试|运维类,"绩效奖金,专项奖金,股票期权,节日礼物",数据开发,广州
15,广东顺畅科技有限公司,顺畅科技,500-2000人,未融资,蓬江区,数据开发工程师,3-5年,本科,10k-20k,发展前景好！,"软件服务｜咨询,IT技术服务｜咨询",开发|测试|运维类,,数据开发,江门
16,上海源犀信息科技有限公司,Linkflow,50-150人,A轮,徐汇区,大数据开发工程师,3-5年,本科,16k-25k,发展前景，团队nice，长带薪年假，商业保险,软件服务｜咨询,开发|测试|运维类,"通讯津贴,交通补助,双休,弹性工作",数据开发,上海
17,宇信网络（广东）有限公司,宇信,50-150人,未融资,天河区,数据开发工程师,3-5年,本科,15k-30k,五险一金 扁平化管理 晋升空间,IT技术服务｜咨询,开发|测试|运维类,,数据开发,广州
18,北京粉笔蓝天科技有限公司,粉笔网,2000人以上,不需要融资,朝阳区,数据开发工程师,1-3年,本科,20k-40k,平台好，垂直领域NO1，发展空间大,在线教育,开发|测试|运维类,"技能培训,节日礼物,年底双薪,带薪年假",数据开发,北京
19,北京平方佳企业管理有限公司,北京平方佳企业管理有限公司,50-150人,未融资,朝阳区,大数据开发工程师,3-5年,本科,15k-25k,加班强度小,数据服务｜咨询,开发|测试|运维类,,数据开发,北京
20,杭州涂鸦信息技术有限公司,涂鸦智能,2000人以上,C轮,西湖区,BI工程师,3-5年,本科,15k-30k,"公司氛围好,定期体检,团建","物联网,智能硬件",开发|测试|运维类,"5星办公环境,年底奖金,团队牛B,五险一金",数据开发,杭州
21,深圳市法本信息技术股份有限公司,法本信息,2000人以上,上市公司,宝安区,大数据开发工程师,3-5年,大专,15k-22k,五险一金,"人工智能服务,IT技术服务｜咨询",开发|测试|运维类,,数据开发,深圳
22,北京鲸航科技有限公司,鲸航科技,50-150人,A轮,海淀区,数据开发工程师,3-5年,本科,15k-30k,发展空间大,在线教育,开发|测试|运维类,"股票期权,带薪年假,扁平管理,美女多",数据开发,北京
23,晟至技术有限公司,晟至技术,50-150人,未融资,朝阳区,大数据开发工程师,3-5年,本科,10k-20k,六险一金/节日福利/生日福利/年终奖金,"软件服务｜咨询,IT技术服务｜咨询,专业服务｜咨询",开发|测试|运维类,"年终奖,六险一金,弹性工作,管理规范",数据开发,北京市
24,上海众调信息科技有限公司,上海众调科技,50-150人,A轮,嘉定区,大数据开发工程师,3-5年,本科,15k-20k,"团队有大牛,晋升空间,交通便利,行业发展",移动互联网,开发|测试|运维类,"带薪年假,弹性工作,节日礼物,领导好",数据开发,上海
25,上海序言泽网络科技有限公司,序言泽网络,500-2000人,不需要融资,浦东新区,大数据开发工程师,3-5年,本科,20k-30k,发展平台 扁平化,游戏 文娱丨内容,开发|测试|运维类,,数据开发,上海
26,北京寄云鼎城科技有限公司,寄云科技,50-150人,B轮,海淀区,大数据开发工程师,5-10年,本科,20k-40k,扁平管理、五险一金、带薪年假、股票期权,"数据服务｜咨询,IT技术服务｜咨询",开发|测试|运维类,"绩效奖金,弹性工作,年度旅游,岗位晋升",数据开发,北京
27,我爱我家控股集团股份有限公司,我爱我家集团,2000人以上,上市公司,朝阳区,大数据开发工程师,3-5年,本科,20k-30k,六险一金、带薪年假、定期体检、弹性工作,房地产｜建筑｜物业,开发|测试|运维类,,数据开发,北京
28,深圳虾皮信息科技有限公司,Shopee,500-2000人,上市公司,南山区,数据仓库/数据开发工程师-多媒体推荐搜索团队,3-5年,本科,30k-50k,六险一金、15天带薪年假、节日礼物,电商平台,开发|测试|运维类,"外企氛围,蓝海市场,大牛多多,15天年假",数据开发,深圳
29,亚信科技（中国）有限公司,亚信,2000人以上,上市公司,海淀区,大数据开发工程师,3-5年,本科,15k-22k,行业前景好，公司平台发展机会多，福利优厚,"软件服务｜咨询,IT技术服务｜咨询",开发|测试|运维类,"年底双薪,技能培训,免费班车,带薪年假",数据开发,北京
30,成都超有爱科技有限公司,百词斩,150-500人,D轮及以上,高新区,数据仓库开发工程师,3-5年,本科,15k-30k,年底双薪、六险一金、个人成长,"在线教育,工具类产品,内容社区",开发|测试|运维类,"股票期权,年底双薪,管饭！,超爱学习",数据开发,成都
31,陕西康德曼信息技术有限公司,康德曼,50-150人,未融资,江岸区,大数据开发工程师,3-5年,本科,14k-19k,国企 上市公司 不加班 福利待遇好,智能硬件,开发|测试|运维类,,数据开发,武汉
32,上海漫微信息技术有限公司,漫微科技,500-2000人,B轮,徐汇区,大数据开发工程师,5-10年,本科,20k-40k,海底捞背景 研发团队强大,软件服务｜咨询,开发|测试|运维类,"年底双薪,带薪年假,专项奖金,绩效奖金",数据开发,上海
33,北京亚格斯科技发展有限公司,北京亚格斯科技发展有...,50-150人,B轮,东城区,大数据开发工程师,3-5年,本科,18k-22k,大数据金融平台,软件开发,开发|测试|运维类,,数据开发,北京
34,泰康保险集团股份有限公司,泰康保险集团,2000人以上,不需要融资,昌平区,数据开发工程师,3-5年,本科,20k-40k,世界500强企业，七险二金 ；金融科技全贯穿,金融业,开发|测试|运维类,"交通补助,午餐补助,带薪年假,定期体检",数据开发,北京
35,北京臻澄网络科技有限公司,冲顶,50-150人,C轮,朝阳区,大数据开发工程师,1-3年,本科,15k-25k,大牛云集，工程师文化，一年16薪,"游戏,社交平台",开发|测试|运维类,"移动互联网,五险一金,扁平管理,领导好",数据开发,北京
36,北京果壳互动科技传媒有限公司,果壳,150-500人,C轮,朝阳区,前端开发工程师（数据可视化方向）,1-3年,本科,10k-20k,七险一金，免费三餐，弹性工作，领域大牛,"短视频,新零售",开发|测试|运维类,"技能培训,年度旅游,岗位晋升,家庭式三餐",移动前端开发,北京
