,companyFullName,companyShortName,companySize,financeStage,district,positionName,workYear,education,salary,positionAdvantage,industryField,firstType,companyLabelList,secondType,city
0,行吟信息科技（上海）有限公司,小红书,500-2000人,D轮及以上,黄浦区,数据库工程师（ DBA ）,3-5年,本科,25k-50k,核心部门，工作scope很大，团队氛围好（不PUA)。,"电商平台,内容社区",开发|测试|运维类,"年度旅游,节日礼物,专项奖金,带薪年假",运维,上海
1,上海万向区块链股份公司,万向区块链,150-500人,不需要融资,虹口区,高级dba工程师,3-5年,本科,17k-30k,全新的行业，在创业公司，一切皆有可能,区块链,开发|测试|运维类,"绩效奖金,带薪年假,交通补助,午餐补助",运维,上海
2,锋泾（中国）建材集团有限公司,锋泾集团,500-2000人,不需要融资,闵行区,dba数据库工程师,5-10年,本科,18k-25k,五险一金；绩效奖金；过节福利；免费班车,房地产｜建筑｜物业,开发|测试|运维类,"绩效奖金,弹性工作,扁平管理,五险一金",运维,上海
3,上海贝海网络科技有限公司,贝海网络,500-2000人,C轮,雁塔区,dba数据库工程师,3-5年,本科,10k-20k,外资，15薪，双休，弹性工作时间,电商平台,开发|测试|运维类,,运维,西安
4,微民保险代理有限公司,WeSure微保,500-2000人,不需要融资,南山区,DBA数据库工程师,3-5年,本科,20k-40k,腾讯 办公环境好 福利待遇高,科技金融,开发|测试|运维类,"带薪年假,交通补助,通讯津贴,定期体检",运维,深圳
5,我爱我家控股集团股份有限公司,我爱我家集团,2000人以上,上市公司,杨浦区,DBA(J326427),3-5年,本科,15k-25k,上市公司,房地产｜建筑｜物业,开发|测试|运维类,,运维,上海
6,崇川区蝶创企业管理服务部,蝶创,少于15人,未融资,崇川区,数据库开发工程师,1-3年,本科,5k-10k,沟通产生价值,"软件服务｜咨询,智能硬件,批发｜零售",开发|测试|运维类,,数据开发,南通
7,上海浪鸽文化传媒有限公司,浪鸽,150-500人,B轮,长宁区,数据库应用工程师,3-5年,本科,15k-30k,交通便利福利好,社交平台,开发|测试|运维类,,运维,上海
8,行吟信息科技（上海）有限公司,小红书,500-2000人,D轮及以上,黄浦区,dba,3-5年,本科,20k-40k,极速发展，大数据量,"电商平台,内容社区",开发|测试|运维类,"年度旅游,节日礼物,专项奖金,带薪年假",运维,上海
9,建信金融科技有限责任公司,建信金科,2000人以上,不需要融资,越秀区,oracle数据库研发工程师/DBA,1-3年,本科,15k-25k,银行系金融科技公司、六险一金、餐补,科技金融,开发|测试|运维类,"绩效奖金,带薪年假,交通补助,通讯津贴",运维,广州
10,深圳市企企通科技有限公司,企企通,150-500人,B轮,余杭区,DBA/数据库工程师,3-5年,本科,15k-18k,双休 朝9晚6 专注于供应链管理与供应链金融,"企业服务,移动互联网",开发|测试|运维类,股票期权,数据开发,杭州
